,sentences
1603,The man is not dancing
1604,Three women are dancing
1605,A few women are dancing
1606,Three women are standing still
1607,A man is playing a flute made of bamboo
1608,A man is playing a bamboo flute
1609,There is no man playing a bamboo flute
1610,The man is playing a flute
1611,A flute is being played by the man
1612,The man is not playing a flute
1613,A person is absently cutting mushrooms with a knife
1614,A person is cutting mushrooms with a knife
1615,A person is putting away the mushrooms
1616,A person is slicing some mushrooms
1617,A person is cutting some mushrooms
1618,There is no person cutting some mushrooms
1619,A tiger is pacing around a cage
1620,A tiger is walking around a cage
1621,A tiger is walking outside a cage
1622,A tiger is walking around with no aim
1623,A tiger is walking around aimlessly
1624,A tiger is sitting
1625,A tiger is aimlessly walking around
1626,A monkey is brushing the dog
1627,The monkey is brushing the dog
1628,There is no monkey brushing the dog
1629,A bull dog is being brushed by the monkey
1630,The monkey is brushing a bull dog
1631,The monkey is not brushing a bull dog
1632,A bull dog is brushing the monkey
1633,A woman is swiftly cutting an onion
1634,The lady is dicing onions
1635,The woman is dicing onions
1636,The woman is throwing onions away
1637,A man is wearing a hard hat and dancing
1638,A man is wearing a hat which is hard and is dancing
1639,A man is naked and standing still
1640,A man is dancing with a worn hard hat
1641,A man with a hard hat is dancing
1642,The man with a hard hat is dancing
1643,There is no man with a hard hat dancing
1644,Two boys are playing a video game
1645,A couple of boys are playing a video game
1646,Two boys are studying
1647,Two boys on a couch are playing games on the TV
1648,Two boys on a couch are playing video games
1649,Two boys on a couch are reading a book
1650,Video games of two playing boys are on a couch
1651,A woman is cutting a potato
1652,The man is slicing vegetables
1653,Vegetables are being sliced by a man
1654,The man is not slicing vegetables
1655,The lady is breaking an egg for the mixer
1656,The lady is cracking an egg for the mixer
1657,The lady isn't cracking an egg for the mixer
1658,The lady is carefully slicing up the meat
1659,The lady is slicing up the meat
1660,The lady isn't slicing up the meat
1661,The lady is eating slices of meat
1662,Some ferrets are climbing down from a shelf
1663,Ferrets are climbing down from a shelf
1664,Ferrets are climbing up a shelf
1665,A few ferrets are climbing out of the cage
1666,Several ferrets are climbing out of the cage
1667,Several ferrets are climbing into the cage
1668,A man is getting into an automobile
1669,A man is getting into a car
1670,A man is getting off the car
1671,A man is hurriedly getting into a car in a garage
1672,A man is getting into a car in a garage
1673,A man is parking a car in a garage
1674,A man is getting a garage for the car
1675,A person is cutting a capsicum into pieces
1676,A capsicum is being cut into pieces by a person
1677,Nobody is cutting a capsicum into pieces
1678,One person is slicing a clove of garlic into pieces
1679,The person is slicing a clove of garlic into pieces
1680,The person is not slicing a clove of garlic into pieces
1681,A man is performing with the guitar
1682,A man is putting away the guitar
1683,The man is gracefully singing and playing the guitar
1684,The man is singing and playing the guitar
1685,The person is boiling noodles
1686,A person is boiling noodles
1687,There is no person boiling noodles
1688,Noodles are being boiled in water by a woman
1689,A woman is boiling noodles in water
1690,A woman is drying noodles
1691,A karate practitioner is kicking at another man who is wearing protective boxing gloves
1692,A karate practitioner is kicking at another man who is wearing protective gloves for boxing
1693,There is no karate practitioner kicking at another man who is wearing protective boxing gloves
1694,The man is clumsily kick boxing with a trainer
1695,The man is kick boxing with a trainer
1696,The man is not kick boxing with a trainer
1697,The man is kicking a boxing trainer
1698,"A woman, who is seated, is singing a song and playing the guitar"
1699,A seated woman is singing a song and playing the guitar
1700,There is no seated woman singing a song and playing the guitar
1701,A woman on a boulder is lying on a blanket and reading a book
1702,A woman on a rock is lying on a blanket and reading a book
1703,A woman on a rock is standing and looking around
1704,A woman is rocking over a blanket lying on someone reading a book
1705,A man is playing an acoustic guitar
1706,A man is playing a guitar that is acoustic
1707,A man is packing away an acoustic guitar
1708,The woman is playing a guitar which is electric
1709,The woman is playing an electric guitar
1710,The woman is not playing an electric guitar
1711,The lady is breaking eggs that are raw into a bowl
1712,The lady is breaking raw eggs into a bowl
1713,The lady isn't breaking raw eggs into a bowl
1714,The woman is cracking eggs into a bowl
1715,Eggs are being cracked into a bowl by the woman
1716,The woman is storing away the eggs
1717,A soccer player is scoring a goal
1718,A player of soccer is scoring a goal
1719,A soccer player is missing a goal
1720,Some people who play soccer are kicking a soccer ball into the goal
1721,Soccer players are kicking a soccer ball into the goal
1722,There are no soccer players kicking a soccer ball into the goal
1723,A man and a woman are eating happily
1724,A man and a woman are eating
1725,A man and a woman are not eating
1726,A man and woman are talking
1727,A man and a woman are having a conversation
1728,A man and a woman are silent
1729,A person is pouring oil made with olives into a pot on the stove
1730,A person is pouring olive oil into a pot on the stove
1731,There is no person pouring olive oil into a pot on the stove
1732,A person is pouring olive oil into the stove from a pot
1733,A person is pouring oil for cooking into a pot
1734,A person is pouring cooking oil into a pot
1735,A person is cleaning a pot of cooking oil
1736,A woman is walking the dog down the street
1737,The woman is walking the dog down the street 
1738,A woman is restraining the dog
1739,The woman is walking the dog
1740,The dog is being walked by the woman
1741,The woman is not walking the dog
1742,A guinea pig is devouring a carrot
1743,A guinea pig is eating a carrot
1744,There is no guinea pig eating a carrot
1745,"A guinea pig, which is small, is gnawing and eating a piece of carrot on the floor"
